 dia mes anio hora min sec latitud longitud prof mag
253 2017 12 01 21 21 00.200 16.26 -100.91 16.3 2.09
254 2017 12 01 21 48 38.140 16.27 -100.86 19.4 2.98
255 2017 12 01 21 53 48.460 16.33 -100.88 14.0 1.73
256 2017 12 01 22 09 50.680 16.27 -100.86 19.4 1.65
257 2017 12 02 00 36 49.220 16.3 -100.88 18.0 1.56
258 2017 12 02 05 22 28.400 17.17 -100.38 38.0 2.67
259 2017 12 02 05 50 07.680 16.26 -100.91 16.3 2.15
260 2017 12 02 06 43 07.400 16.33 -100.88 14.0 1.78
261 2017 12 02 10 18 27.000 16.27 -100.86 19.4 2.37
262 2017 12 02 10 32 57.800 16.3 -100.77 10.0 1.94
263 2017 12 02 11 46 44.200 16.3 -100.77 10.0 2.14
264 2017 12 02 12 34 20.060 16.3 -100.77 10.0 1.91
265 2017 12 02 15 27 50.660 16.29 -100.91 14.3 1.78
266 2017 12 02 15 39 57.220 16.26 -100.91 16.3 1.9
267 2017 12 02 15 41 04.520 16.29 -100.91 12.3 1.72
268 2017 12 02 15 47 51.920 16.26 -100.91 16.3 1.77
269 2017 12 02 15 51 27.440 16.26 -100.91 16.3 1.9
270 2017 12 02 15 54 58.460 16.26 -100.91 16.3 1.9
271 2017 12 02 15 57 02.600 16.26 -100.91 16.3 2.02
272 2017 12 02 16 00 28.040 16.26 -100.91 16.3 1.69
273 2017 12 02 16 01 38.120 16.26 -100.91 16.3 1.46
274 2017 12 02 16 14 44.360 16.26 -100.91 16.3 1.58
275 2017 12 02 17 15 00.060 17.3 -101.04 38.2 2.01
276 2017 12 02 18 27 10.660 17.36 -101.55 3.0 2.5
277 2017 12 02 18 30 32.720 16.26 -100.91 16.3 1.47
278 2017 12 02 18 30 56.320 16.26 -100.91 16.3 1.64
279 2017 12 02 18 33 05.960 17.15 -100.04 38.0 2.76
280 2017 12 02 20 25 15.560 17.32 -100.96 9.0 1.58
281 2017 12 02 21 55 27.200 16.26 -100.91 16.3 1.57
282 2017 12 02 21 55 40.980 16.26 -100.91 16.3 1.61
283 2017 12 02 22 09 56.840 17.24 -101.17 44.3 1.82
284 2017 12 03 00 54 12.120 16.3 -100.88 16.0 1.86
285 2017 12 03 01 06 43.500 17.29 -101.07 9.8 2.46
286 2017 12 03 02 58 00.200 16.26 -100.91 16.3 1.6
287 2017 12 03 03 19 08.600 17.29 -101.07 9.8 1.47
288 2017 12 03 03 48 51.300 16.24 -100.88 14.0 2.13
289 2017 12 03 07 01 19.760 16.3 -100.77 10.0 2.04
290 2017 12 03 07 08 34.840 16.3 -100.77 10.0 1.96
291 2017 12 03 07 11 15.920 16.3 -100.77 10.0 2.02
292 2017 12 03 07 17 24.720 16.3 -100.77 10.0 1.97
293 2017 12 03 08 45 23.180 17.28 -101.09 36.0 1.53
294 2017 12 03 08 51 55.800 16.3 -100.77 10.0 1.84
295 2017 12 03 11 27 25.920 17.26 -101.02 5.0 1.86
296 2017 12 03 12 56 31.560 17.26 -101.02 5.0 1.5
297 2017 12 03 14 00 39.180 17.24 -101.04 36.2 1.61
298 2017 12 03 14 06 18.380 17.24 -101.17 46.3 1.56
299 2017 12 03 15 07 16.120 17.24 -101.04 36.2 2.07
300 2017 12 03 16 02 33.040 16.27 -100.86 19.4 1.97
301 2017 12 03 17 45 43.180 17.26 -101.02 5.0 1.75
302 2017 12 03 21 43 01.200 17.24 -101.17 46.3 1.92
303 2017 12 04 04 37 45.520 17.26 -101.02 5.0 1.84
304 2017 12 04 11 41 33.060 16.3 -100.77 10.0 2.0
305 2017 12 04 12 22 12.360 16.26 -100.91 16.3 1.68
306 2017 12 04 13 03 48.040 16.26 -100.91 20.3 1.84
307 2017 12 04 15 21 51.720 17.3 -101.06 5.0 1.72
308 2017 12 04 21 47 33.180 17.28 -101.09 36.0 1.62
